Objekt,Vekt i gram,Retningsflate,Areal i cm^2,Slipphoyde i cm,Tid,Lufttrykk
Enkel muffinsform 1,0.32,flat,21.24,50,0.513,1007
Enkel muffinsform 2,0.32,flat,21.24,100,0.788,1007
Enkel muffinsform 3,0.32,flat,21.24,150,1.113,1007
Enkel muffinsform 4,0.32,flat,21.24,200,1.258,1007
Bunch muffinsform 1,9,flat,21.24,50,0.333,1007
Bunch muffinsform 2,9,flat,21.24,100,0.479,1007
Bunch muffinsform 3,9,flat,21.24,150,0.583,1007
Bunch muffinsform 4,9,flat,21.24,200,0.658,1007
Muffinsform med magnet 1,61.17,flat,21.24,50,0.304,1007
Muffinsform med magnet 2,61.17,flat,21.24,100,0.45,1007
Muffinsform med magnet 3,61.17,flat,21.24,150,0.546,1007
Muffinsform med magnet 4,61.17,flat,21.24,200,0.646,1007
Bok E1 1,1021,flat,589.36,50,0.296,1007
Bok E1 2,1021,flat,589.36,100,0.442,1007
Bok E1 3,1021,flat,589.36,150,0.55,1007
Bok E1 4,1021,flat,589.36,200,0.625,1007
Bok Naturfag SF 1,1146,flat,501.8,50,0.304,1007
Bok Naturfag SF 2,1146,flat,501.8,100,0.425,1007
Bok Naturfag SF 3,1146,flat,501.8,150,0.55,1007
Bok Naturfag SF 4,1146,flat,501.8,200,0.633,1007
Tusj 1,12.68,flat,8.043,50,0.333,1023
Tusj 2,12.68,flat,8.043,100,0.45,1023
Tusj 3,12.68,flat,8.043,150,0.56,1023
Tusj 4,12.68,flat,8.043,200,0.642,1023
Lim flat 1,54.36,flat,7.069,50,0.329,1023
Lim flat 2,54.36,flat,7.069,100,0.433,1023
Lim flat 3,54.36,flat,7.069,150,0.542,1023
Lim flat 4,54.36,flat,7.069,200,,1023
Lim rund 1,54.36,sylinder,33.9,50,0.3,1023
Lim rund 2,54.36,sylinder,33.9,100,0.446,1023
Lim rund 3,54.36,sylinder,33.9,150,0.546,1023
Lim rund 4,54.36,sylinder,33.9,200,0.638,1023
Ping pong 1,2.74,kule,11.341,50,0.325,1023
Ping pong 2,2.74,kule,11.341,100,0.467,1023
Ping pong 3,2.74,kule,12.566,150,0.579,1023
Ping pong 4,2.74,kule,12.566,200,0.671,1023
Metermal 1,389,flat,600,50,0.342,1023
Metermal 2,389,flat,600,100,0.5,1023
Metermal 3,389,flat,600,150,0.567,1023
Metermal 4,389,flat,600,200,0.692,1023
Spiss linjal 1,23.3,flat,0.76,50,0.321,1023
Spiss linjal 2,23.3,flat,0.76,100,0.429,1023
Spiss linjal 3,23.3,flat,0.76,150,0.55,1023
Spiss linjal 4,23.3,flat,0.76,200,0.663,1023
Flat linjal 1,23.3,flat,123.12,50,0.333,1023
Flat linjal 2,23.3,flat,123.12,100,0.5,1023
Flat linjal 3,23.3,flat,123.12,150,0.64,1023
Flat linjal 4,23.3,flat,123.12,200,0.754,1023
Papirboks 1,5.12,flat,216,50,0.479,1009
Papirboks 2,5.12,flat,216,100,0.775,1009
Papirboks 3,5.12,flat,216,150,1.038,1009
Papirboks 4,5.12,flat,216,200,1.35,1009
Papirboks med vekt 1,8.31,flat,216,50,0.429,1008
Papirboks med vekt 2,8.31,flat,216,100,0.658,1008
Papirboks med vekt 3,8.31,flat,216,150,0.875,1008
Papirboks med vekt 4,8.31,flat,216,200,1.175,1008
